year,avg_temp_c,rain_mm,max_temp_c,max_temp_c_1
2001,4.06,7.11,5.78,1.0
2001,-0.11,2.03,1.22,-1.11
2001,22.06,0.0,27.28,16.61
2001,5.17,3.05,7.0,4.0
2001,10.33,0.51,16.0,4.5
2001,15.06,2.03,20.39,12.5
2001,8.67,0.0,12.22,5.72
2001,3.0,8.89,7.28,-0.39
2001,-1.44,0.76,1.0,-3.39
2001,25.33,0.0,32.28,17.78
2001,4.44,1.27,10.5,0.61
2001,10.72,0.0,12.0,8.78
2001,3.67,3.05,5.61,0.78
2001,7.06,0.0,12.11,3.5
2001,0.44,0.0,2.22,-1.22
2001,25.17,3.05,33.28,19.0
2001,-2.33,0.0,-0.61,-6.0
2001,-1.94,0.0,2.22,-5.28
2001,1.72,0.0,7.28,-3.89
2001,7.67,0.51,10.0,6.0
2001,8.94,0.76,10.72,7.39
2001,1.44,0.0,5.28,-1.72
2001,-2.0,0.0,4.0,-7.5
2001,1.72,0.0,4.89,-1.78
2001,-2.17,0.0,3.0,-6.39
2001,21.78,0.0,28.28,16.72
2001,12.5,0.0,19.28,4.61
2001,21.83,0.0,28.0,16.0
2001,16.72,0.0,23.0,11.61
2001,16.28,0.51,19.39,13.0
2001,-1.5,0.0,2.39,-5.11
2001,-1.89,8.89,0.0,-7.28
2001,11.11,,16.78,4.72
2001,19.17,1.27,26.5,14.0
2001,16.94,0.76,23.89,12.5
2001,4.83,0.0,10.0,1.22
2001,1.5,0.51,4.22,-0.11
2001,16.17,1.02,23.72,10.28
2001,13.89,0.76,21.61,8.78
2001,5.72,8.13,11.5,4.0
2001,16.67,0.76,22.28,10.61
2001,18.5,1.02,23.5,14.5
2001,-4.56,0.0,1.0,-9.61
2001,19.28,0.0,26.0,13.89
2001,3.67,0.0,8.5,-1.39
2001,-2.56,0.0,-1.0,-5.22
2001,2.5,19.81,4.89,0.0
2001,3.61,0.0,8.0,-1.89
2001,0.89,0.0,6.11,-2.39
2001,12.61,0.0,16.0,9.0
2001,-9.94,0.0,-3.0,-14.0
2001,-1.17,1.02,0.0,-3.0
2001,-8.11,0.0,-6.0,-9.22
2001,14.0,2.03,16.0,12.28
2001,11.11,0.0,17.0,5.89
2001,2.28,0.0,8.22,-0.78
2001,0.61,0.0,1.72,0.0
2001,13.22,0.76,17.0,11.0
2001,-1.17,0.0,0.78,-3.11
2001,20.22,0.0,23.61,15.61
2001,19.78,0.0,25.61,14.22
2001,10.67,9.91,12.22,9.72
2001,14.67,,19.0,7.5
2001,18.83,7.11,23.5,12.39
2001,21.61,8.64,25.28,18.5
2001,15.39,5.08,18.28,11.39
2001,-2.5,0.0,1.28,-6.0
2001,12.5,16.0,14.72,11.39
2001,12.56,6.86,16.72,8.72
2001,8.28,0.0,13.0,1.89
2001,14.78,28.45,16.78,12.28
2001,21.17,1.78,25.0,17.89
2001,-6.67,0.0,-2.61,-11.0
2001,19.72,0.0,26.72,11.5
2001,21.44,0.0,27.11,14.22
2001,10.06,0.0,13.61,6.72
2001,7.89,0.0,14.11,2.89
2001,6.17,4.06,12.11,0.89
2001,16.39,6.1,21.0,13.5
2001,25.5,0.0,32.0,18.61
2001,21.39,0.0,28.39,12.89
2001,24.17,0.0,31.11,17.39
2001,-7.67,0.0,-2.72,-10.5
2001,15.5,0.0,21.0,6.89
2001,17.0,0.0,21.78,11.72
2001,17.61,0.0,24.39,11.0
2001,26.33,0.0,32.39,20.28
2001,9.72,0.0,15.28,4.28
2001,10.72,0.0,16.0,5.22
2001,16.11,0.51,17.61,14.78
2001,9.22,0.51,10.5,6.5
2001,17.11,2.03,25.72,10.72
2001,10.56,0.0,16.28,5.78
2001,15.11,0.0,20.39,9.72
2001,4.61,0.76,10.0,-2.0
2001,16.39,171.7,20.22,13.5
2001,-0.33,0.0,2.22,-3.0
2001,24.33,0.76,29.39,17.72
2001,22.28,0.0,27.0,17.61
2001,17.17,0.0,24.0,11.39
2001,-2.28,0.0,2.0,-5.78
2001,8.94,0.0,14.5,4.22
2001,15.28,0.0,21.5,10.11
2001,3.78,0.76,5.22,2.5
2001,8.44,4.06,13.72,3.89
2001,25.78,0.0,32.39,18.78
2001,5.67,26.16,8.0,3.0
2001,18.94,1.02,25.11,11.72
2001,16.17,0.0,22.0,10.39
2001,24.61,0.0,30.39,18.72
2001,-1.44,0.0,2.78,-6.28
2001,23.5,0.0,29.5,17.0
2001,11.0,7.11,15.11,8.22
2001,17.06,1.52,22.39,13.72
2001,21.61,0.0,27.0,15.28
2001,-1.0,0.0,4.11,-5.5
2001,22.89,0.0,28.0,18.22
2001,7.44,0.0,12.28,3.78
2001,16.89,0.0,22.5,10.78
2001,5.22,0.0,11.39,0.0
2001,-6.44,0.0,-3.0,-10.0
2001,19.56,,23.5,16.61
2001,4.17,1.52,7.11,0.39
2001,7.0,7.11,8.39,5.5
2001,8.94,1.02,12.0,5.78
2001,17.89,0.0,24.0,13.78
2001,5.83,0.0,12.11,0.39
2001,-1.39,0.0,0.22,-3.72
2001,3.22,0.51,5.0,2.0
2001,17.22,2.03,20.78,14.28
2001,24.17,0.0,28.61,19.39
2001,-1.67,0.0,3.0,-5.0
2001,-10.0,0.76,-6.0,-15.22
2001,-1.67,0.76,1.78,-5.0
2001,14.5,0.25,16.78,12.78
2001,4.44,0.0,11.22,-2.72
2001,10.06,0.0,16.28,2.89
2001,4.0,0.0,10.0,-1.61
2001,3.44,0.0,7.0,-0.5
2001,-1.5,2.03,0.0,-3.89
2001,0.0,0.0,4.39,-4.61
2001,-1.72,0.0,-0.72,-3.0
2001,18.89,0.0,24.72,13.39
2001,0.22,7.11,1.0,-0.28
